dien_tich,so_phong_ngu,khoang_cach_trung_tam,gia_nha
97.4,1,3.22,160.2
81.5,4,14.69,124.5
101.2,2,20.79,131.0
123.1,5,15.59,175.2
79.1,1,5.13,122.3
79.1,3,11.63,130.1
124.5,1,0.58,184.1
104.2,3,26.11,121.1
73.3,4,2.99,135.3
98.6,2,18.12,123.5
73.4,1,29.59,89.1
73.4,5,16.33,99.6
91.0,4,27.76,120.7
37.2,1,7.47,89.3
41.9,5,22.92,67.9
70.9,1,16.17,88.7
59.7,3,21.76,75.8
92.9,1,2.34,164.2
62.3,1,4.86,120.6
49.7,1,4.43,109.5
121.6,4,20.77,159.2
79.4,1,25.41,94.6
86.7,5,22.61,126.9
49.4,3,1.4,133.9
71.4,3,26.08,86.5
87.8,1,10.95,114.9
56.2,4,12.22,129.5
94.4,4,3.59,168.3
70.0,5,22.25,102.0
77.7,1,5.88,113.7
70.0,3,17.14,97.2
131.3,4,25.3,166.1
84.7,1,3.13,134.8
58.6,4,16.29,127.7
105.6,4,7.38,183.2
54.5,3,10.62,107.7
90.2,2,14.48,138.4
36.0,5,10.98,96.9
51.8,5,19.64,80.0
89.9,3,14.65,121.8
103.5,4,17.73,147.9
89.3,1,22.24,96.1
82.1,4,16.95,135.1
77.5,3,17.8,111.1
48.0,5,17.15,107.8
67.0,4,11.67,138.3
73.5,5,10.45,139.2
111.4,1,27.04,115.5
93.6,5,18.42,125.5
40.9,5,7.71,112.7
93.1,2,15.2,113.3
75.4,2,10.25,120.3
68.1,2,28.04,74.7
100.3,5,0.72,191.0
110.8,3,7.15,164.2
108.3,5,11.28,196.5
64.0,3,14.89,92.6
77.3,3,25.6,81.7
93.3,2,3.09,169.0
109.4,4,24.27,130.9
73.0,1,2.14,116.9
80.4,2,25.35,113.6
57.3,2,2.02,128.7
55.1,4,1.04,128.9
105.3,1,21.06,119.2
118.9,5,29.92,162.5
83.2,5,26.95,120.8
110.1,2,17.49,150.5
94.0,1,27.56,99.4
68.9,2,0.66,142.7
94.0,3,29.26,104.1
123.5,2,14.98,156.6
84.1,2,21.83,104.8
124.1,5,24.72,167.1
25.0,5,21.69,64.4
105.5,5,16.28,160.9
87.2,3,14.56,126.0
77.5,5,25.24,113.2
87.3,1,6.55,118.4
35.3,4,29.06,79.4
79.5,1,21.47,82.9
93.9,1,6.39,134.3
121.9,5,22.22,154.9
72.0,4,16.13,124.7
64.8,4,21.36,97.8
72.5,4,23.15,93.9
107.9,3,3.08,181.7
93.2,5,15.43,157.2
71.8,4,27.99,91.5
97.8,3,9.96,143.3
87.4,2,18.02,135.7
109.2,2,11.39,153.6
67.4,3,13.9,98.1
76.8,3,16.68,128.2
75.2,5,16.69,119.9
48.4,5,6.45,151.6
92.4,2,20.69,113.7
91.5,4,3.09,176.9
85.1,2,4.6,120.2
79.1,4,0.58,147.0
49.6,4,3.94,136.3
74.5,5,14.46,135.9
76.4,1,18.38,114.4
64.9,1,23.93,75.1
81.0,3,3.65,148.4
95.1,5,25.6,145.9
132.2,4,22.51,174.7
89.4,1,12.55,117.8
91.4,4,28.02,100.9
83.1,1,29.73,52.0
37.0,1,6.55,76.2
84.3,1,11.69,104.8
86.5,5,27.83,141.3
146.6,2,21.79,158.1
80.2,4,1.92,151.2
92.5,5,23.55,115.5
84.1,5,24.92,116.6
55.8,5,22.64,89.3
113.6,5,24.09,168.0
103.8,5,24.84,140.8
104.8,3,6.0,165.5
62.3,4,7.45,126.5
120.1,5,19.2,175.7
50.0,4,27.28,67.4
99.7,3,9.83,158.7
139.8,3,17.86,190.6
60.2,4,20.65,101.4
70.8,1,13.83,95.9
87.5,2,21.56,96.5
72.4,1,27.04,68.2
46.2,1,18.91,68.3
86.7,1,16.42,93.3
58.4,5,13.44,127.2
96.8,3,17.54,134.3
62.0,1,10.98,94.4
123.7,3,12.05,164.6
65.4,4,16.19,107.0
76.9,2,2.47,143.5
105.3,4,7.26,170.1
54.2,4,16.51,94.9
90.7,5,13.23,156.3
117.7,2,10.32,166.1
44.8,4,22.05,65.8
89.6,4,20.96,131.2
91.5,2,5.42,170.6
104.5,2,26.42,117.1
54.1,4,15.11,85.8
52.0,2,22.37,70.5
98.0,4,17.41,123.4
92.4,4,29.93,140.2
91.3,5,22.7,153.7
93.7,1,21.36,98.0
68.0,4,23.47,75.9
90.8,3,4.72,145.6
92.3,1,6.53,134.1
67.1,1,21.56,60.1
131.6,1,15.07,155.8
96.8,5,22.76,134.9
55.2,4,3.54,130.7
101.4,5,16.33,157.8
60.6,4,11.68,107.3
104.7,5,13.98,155.4
114.0,5,18.32,164.1
64.5,3,15.32,98.5
109.1,5,16.43,172.0
95.3,2,14.85,129.0
105.6,3,12.56,170.6
132.4,5,23.27,179.4
78.9,1,0.86,146.0
66.2,2,18.15,93.5
62.8,2,17.18,92.5
64.6,2,21.63,100.3
83.1,3,18.17,113.3
93.5,5,24.89,134.2
91.9,5,28.79,115.9
105.7,1,10.6,137.7
85.3,1,7.21,115.8
121.3,2,13.0,151.3
78.4,1,8.99,107.3
153.0,3,18.64,191.9
100.6,5,27.4,140.8
63.6,2,4.6,118.5
58.2,1,3.47,110.9
97.1,3,8.05,151.8
79.4,3,21.92,97.1
102.9,1,17.99,129.9
96.8,5,3.52,185.6
83.2,1,27.6,61.5
63.8,2,23.81,74.6
47.1,1,1.18,93.7
73.8,3,19.72,100.6
106.4,1,23.25,106.6
90.4,5,11.55,154.5
53.9,4,2.53,127.0
89.3,1,2.78,137.7
94.6,5,3.58,187.8
62.9,5,25.29,102.8
88.8,3,27.37,95.6
86.5,5,4.12,161.8
56.4,5,7.46,134.9
93.9,5,5.38,177.0
99.0,5,6.0,169.8
112.1,2,25.21,120.3
111.3,2,10.3,173.2
50.6,3,9.69,97.4
61.6,1,7.21,122.8
97.9,5,18.43,158.4
97.8,1,11.69,147.4
97.9,1,22.46,100.2
181.3,3,6.56,239.2
99.3,5,23.74,132.6
113.4,5,18.31,174.4
108.9,4,3.87,176.7
101.3,1,12.73,138.6
77.1,1,25.97,84.8
104.0,2,27.73,108.5
65.7,4,14.24,129.3
79.1,2,14.68,113.9
72.9,2,27.59,86.5
87.0,2,17.82,108.9
142.9,3,1.47,206.4
38.3,3,27.43,59.3
102.2,2,7.82,155.3
44.7,4,17.54,90.5
73.2,1,5.38,115.9
112.2,4,1.5,206.4
86.6,5,9.69,144.1
58.1,3,23.52,68.6
67.1,1,8.69,115.4
102.0,1,6.99,153.2
66.7,5,6.77,145.4
90.4,5,15.7,143.0
86.1,2,29.28,92.8
68.7,3,14.04,129.0
138.6,3,16.94,200.5
100.8,4,25.89,109.3
34.4,2,16.28,60.4
89.7,2,5.94,137.8
68.5,2,9.34,130.2
106.3,2,9.64,126.3
65.2,3,12.22,117.4
82.1,3,13.09,124.8
97.6,2,24.09,127.0
106.6,4,10.81,179.9
55.0,1,14.31,85.2
76.6,1,18.94,77.2
73.1,4,11.64,123.8
68.7,2,25.18,74.6
129.1,3,17.83,150.6
95.1,1,9.17,144.5
53.5,5,21.56,81.5
107.9,5,16.07,182.3
138.1,4,16.27,203.9
110.8,2,14.69,140.6
47.0,1,15.16,74.9
72.9,2,23.08,87.4
116.7,1,3.54,175.9
67.3,4,10.36,139.3
96.1,4,2.73,174.7
104.4,5,22.72,149.1
61.8,2,8.53,102.8
83.5,5,26.97,118.5
25.0,2,16.03,57.4
59.4,5,24.12,87.2
78.7,3,29.38,87.9
53.8,3,25.27,68.4
125.8,3,26.08,136.3
49.2,3,12.54,84.2
74.0,1,16.78,95.7
88.3,3,7.99,136.9
121.0,4,6.29,184.5
49.1,4,15.41,107.9
114.1,1,18.05,138.7
85.3,3,10.51,126.3
60.5,3,17.3,99.9
96.6,3,26.68,113.2
90.0,5,16.92,159.8
70.0,2,21.76,101.9
86.7,5,24.26,108.0
75.4,2,29.67,84.7
87.8,3,18.29,134.2
101.6,3,24.3,127.7
124.7,5,28.9,147.7
54.1,5,28.36,105.8
138.3,2,4.66,200.6
36.2,4,12.49,110.5
81.2,2,10.06,138.6
99.7,5,3.06,187.6
92.0,5,19.18,134.0
69.4,1,22.21,78.3
79.8,5,25.52,111.4
72.7,1,4.12,109.5
70.3,4,26.36,100.8
106.2,2,19.47,145.1
93.9,2,21.27,110.2
67.7,1,27.36,87.1
107.5,2,18.93,116.3
92.7,5,10.41,170.3
105.3,3,24.84,141.4
100.7,1,11.21,132.0
